接口标识,接口名称,接口地址,接口请求方式,接口参数
registerUsingPOST,云超市用户注册,https://service.bccastle.com/is/IsSmsSendController/register,post,"['phoneNum', 'phoneKey']"
sendSmsUsingPOST,用户修改手机号码发送短息,https://service.bccastle.com/is/IsSmsSendController/sendSms,post,['phoneNum']
sendSmsMailUsingPOST,用户修改邮箱发送短息,https://service.bccastle.com/is/IsSmsSendController/sendSmsMail,post,['phoneNum']
sendSmsPasswordUsingPOST,用户修改密码发送短息,https://service.bccastle.com/is/IsSmsSendController/sendSmsPassword,post,['phoneNum']
addCompanyAppsByEntityIDUsingPOST,应用选购,https://service.bccastle.com/is/addApps,post,"['EntityID', 'companyid', 'createuser']"
appSorgImpowerUsingGET,应用-机构授权,https://service.bccastle.com/is/appSorgImpower,get,"['sorgid', 'entityID', 'companyId']"
authorizationAppsUsingPOST,应用-用户授权,https://service.bccastle.com/is/authorizationApps,post,"['uid', 'EntityID']"
authorizationRoleUsingPOST,用户授权,https://service.bccastle.com/is/authorizationRole,post,"['uid', 'roleid']"
cancelauthorizationRoleUsingPOST,收回给用户授权的角色,https://service.bccastle.com/is/cancelauthorizationRole,post,"['uid', 'roleid']"
cancellationOfOrderUsingPOST,根据id取消订单,https://service.bccastle.com/is/cancellationOfOrder,post,['orderId']
findClassificationUsingGET,查询所有应用类型,https://service.bccastle.com/is/classification/findClassificationList,get,[]
companyInfoUsingGET,获取本公司的公司信息,https://service.bccastle.com/is/companyInfo,get,['uid']
delAccountUsingPOST,删除账号,https://service.bccastle.com/is/delAccount,post,"['error...', 'uid', 'spCode']"
deleteCompanyAppsByEntityIDUsingPOST,应用删除,https://service.bccastle.com/is/deleteApps,post,"['EntityID', 'deleteuser', 'companyid']"
deleteMoreUsingPOST,删除用户,https://service.bccastle.com/is/deletemore,post,['ids']
downlandErrorDataUsingGET,导出错误数据,https://service.bccastle.com/is/downErrorData,get,['companyId']
sorgExcelImportFailedUsingGET,下载机构的导入失败列表excel,https://service.bccastle.com/is/download/sorgExcelImportFailed,get,['list']
dowTemplateUsingGET_1,组织架构导入模板,https://service.bccastle.com/is/download/sorgTemplate,get,['fileName']
uploadSorgExcelUsingGET,下载本公司sorg机构的excel,https://service.bccastle.com/is/download/uploadSorgExcel,get,['companyId']
uploadUserExcelUsingGET,下载本公司用户的excel,https://service.bccastle.com/is/download/uploadUserExcel,get,['companyId']
dowTemplateUsingGET,下载模板,https://service.bccastle.com/is/download/userTemplate,get,['fileName']
echoUserUsingPOST,用户回显,https://service.bccastle.com/is/echoUser,post,['id']
empowerAppUsingPOST,分配应用,https://service.bccastle.com/is/empowerApp,post,"['uid', 'entityIds']"
excelAddSorgUsingPOST,通过导入机构excel文件导入机构,https://service.bccastle.com/is/excelAddSorg,post,"['file', 'companyId']"
excelAddUserUsingPOST,批量导入用户,https://service.bccastle.com/is/excelAddUser,post,"['file', 'companyId', 'userId']"
selectCompanyAppsByEntityIdUsingGET,应用详情,https://service.bccastle.com/is/findApps,get,['EntityID']
findByEntityIdUsingPOST,通过id来查找应用详情,https://service.bccastle.com/is/findByEntityId,post,['entityId']
findOrderByIdUsingPOST,根据id查询订单,https://service.bccastle.com/is/findOrderById,post,['orderId']
findAppByEntityIdUsingPOST,查询应用详情,https://service.bccastle.com/is/findSelfAppByEntityId,post,['entityId']
getOrderListUsingPOST,订单查询及列表展示接口,https://service.bccastle.com/is/getOrderList,post,"['accountNumber', 'appId', 'appNumber', 'appSalesModel', 'consumeCompanyId', 'consumeUserId', 'createTime', 'function', 'gtTime', 'id', 'lsTime', 'name', 'openDate', 'openStatus', 'orderNum', 'originPrice', 'payNumber', 'payTime', 'payments', 'periodNumber', 'periodType', 'price', 'priceId', 'serviceCompanyId', 'serviceCompanyName', 'settlement', 'status', 'sum', 'type', 'typeName', 'time', 'creatTime', 'page']"
indexUsingGET,index,https://service.bccastle.com/is/index,get,[]
insertNewUserUsingPOST,添加用户,https://service.bccastle.com/is/insertNewUser,post,"['companyName', 'consumeCompanyid', 'displayName', 'employeeNumber', 'errorCause', 'gender', 'isPassRemind', 'loginName', 'mail', 'mobile', 'password', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgNamePath', 'title', 'uid']"
listUsingGET,分页列表,https://service.bccastle.com/is/list,get,"['p', 'companyid', 'employeeNumber', 'displayName', 'mail', 'mobile', 'spOrgNamePath']"
loginPasswordIsTrueUsingPOST,登录密码是否正确,https://service.bccastle.com/is/loginPasswordIsTrue,post,"['password', 'userId']"
logoutUsingPOST,logout,https://service.bccastle.com/is/logout,post,[]
queryAppAllotAccountUsingPOST,查询应用已分配账号列表,https://service.bccastle.com/is/queryAppAllotAccount,post,"['error...', 'error...', 'entityId', 'loginName', 'displayName', 'accountStatus', 'page']"
queryListUsingPOST,应用列表,https://service.bccastle.com/is/queryList,post,"['error...', 'appAccessType', 'appkey', 'appsecret', 'authMethodIDs', 'avatar', 'bmethods', 'bmethodsValue', 'chainCodes', 'companyid', 'consumeCompanyId', 'createtime', 'createuser', 'deletetime', 'deleteuser', 'description', 'enabled', 'entityDescriptorContent', 'entityID', 'idpEntityId', 'isSubmit', 'lastmodify', 'loginUrl', 'name', 'outUrl', 'pmethods', 'pmethodsValue', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'umethods', 'umethodsValue', 'updatetimeuser', 'url', 'visualRange', 'way', 'p']"
queryListAllUsingGET_1,未选购应用列表,https://service.bccastle.com/is/queryListAll,get,"['appAccessType', 'appkey', 'appsecret', 'authMethodIDs', 'avatar', 'bmethods', 'bmethodsValue', 'chainCodes', 'companyid', 'consumeCompanyId', 'createtime', 'createuser', 'deletetime', 'deleteuser', 'description', 'enabled', 'entityDescriptorContent', 'entityID', 'idpEntityId', 'isSubmit', 'lastmodify', 'loginUrl', 'name', 'outUrl', 'pmethods', 'pmethodsValue', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'umethods', 'umethodsValue', 'updatetimeuser', 'url', 'visualRange', 'way', 'p']"
queryListAllUsingGET,审批列表,https://service.bccastle.com/is/queryListApply,get,"['error...', 'p']"
queryLoginNameUsingPOST,查看是登录名是否存在,https://service.bccastle.com/is/queryLoginName,post,"['mobile', 'mail', 'loginName']"
queryMailUsingPOST,邮箱,https://service.bccastle.com/is/queryMail,post,['uid']
queryManagementByUidUsingPOST,查看用户是否有管理员权限,https://service.bccastle.com/is/queryManagementByUid,post,['uid']
queryPowerUsingGET,查找用户已有的菜单权限,https://service.bccastle.com/is/queryPowerList,get,['uid']
querySameSubmitUsingPOST,查找重新实名认证时提交的是否和之前相同,https://service.bccastle.com/is/querySameSubmit,post,"['name', 'certificateNo', 'certificatePic']"
querySelfAppUsingPOST,查询应用详情,https://service.bccastle.com/is/querySelfApp,post,['consumeCompanyId']
queryStatusUsingPOST,认证状态,https://service.bccastle.com/is/queryStatus,post,['uid']
queryUserBySorgIdUsingPOST,查询机构下某应用未分配的用户,https://service.bccastle.com/is/queryUserBySorgId,post,"['error...', 'sorgId']"
queryUserBySorgIdAllUsingPOST,查询机构下的用户,https://service.bccastle.com/is/queryUserBySorgIdAll,post,"['sorgId', 'loginName', 'displayName', 'mobile', 'page']"
registAgainUsingPOST,企业实名认证拒绝后再次认证,https://service.bccastle.com/is/registAgain,post,"['address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website', 'uid']"
registcompanyUsingPOST,企业实名认证,https://service.bccastle.com/is/registcompany,post,"['address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website', 'uid']"
resetPasswordUsingPOST,重置密码,https://service.bccastle.com/is/resetPassword,post,"['uid', 'password', 'companyId']"
saveAccountUsingPOST,Oauth2.0分配账号,https://service.bccastle.com/is/saveAccount,post,"['error...', 'uid']"
saveSelfAppUsingPOST,添加自建应用,https://service.bccastle.com/is/saveSelfApp,post,"['appAccessType', 'appkey', 'appsecret', 'authMethodIDs', 'avatar', 'bmethods', 'bmethodsValue', 'chainCodes', 'companyid', 'consumeCompanyId', 'createtime', 'createuser', 'deletetime', 'deleteuser', 'description', 'enabled', 'entityDescriptorContent', 'entityID', 'idpEntityId', 'isSubmit', 'lastmodify', 'loginUrl', 'name', 'outUrl', 'pmethods', 'pmethodsValue', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'umethods', 'umethodsValue', 'updatetimeuser', 'url', 'visualRange', 'way']"
searchSorgUsingPOST,查询企业下所有机构,https://service.bccastle.com/is/searchSorg,post,"['error...', 'companyId']"
selectBuyDateListUsingPOST,消费时间,https://service.bccastle.com/is/selectBuyDateList,post,['uid']
selectBuyDetailListUsingPOST,消费明细,https://service.bccastle.com/is/selectBuyDetailList,post,"['type', 'Date', 'id', 'uid', 'page']"
selectBuyHistoryListUsingPOST,入驻以来消费趋势,https://service.bccastle.com/is/selectBuyHistoryList,post,['uid']
selectMonthListUsingPOST,消费汇总,https://service.bccastle.com/is/selectMonthList,post,"['Date', 'uid']"
selectPowerUrlByUseridUsingGET,查找用户已有的菜单权限 的url列表,https://service.bccastle.com/is/selectPowerUrlByUserid,get,['uid']
selectSumListUsingPOST,消费明细(消费总计),https://service.bccastle.com/is/selectSumList,post,"['type', 'Date', 'id', 'uid']"
showSorgFirstTreeUsingPOST,显示根和一级机构树,https://service.bccastle.com/is/showSorgFirstTree,post,['companyid']
showSorgUsingPOST,组织机构展示,https://service.bccastle.com/is/showSorgTree,post,"['id', 'companyid', 'sorgname']"
deleteNodeSorgUsingPOST,删除机构,https://service.bccastle.com/is/sorg/deleteNodeSorg,post,['id']
echoSorgUsingGET,机构回显,https://service.bccastle.com/is/sorg/echoSorg,get,['id']
insertNewSorgUsingPOST,增加机构,https://service.bccastle.com/is/sorg/insertNewSorg,post,"['companyid', 'isHaveSon', 'sorgCode', 'sorgDescription', 'sorgId', 'sorgName', 'sorgParentId', 'sorgParentName', 'sorgType']"
showNodeSorgUsingPOST,子节点列表,https://service.bccastle.com/is/sorg/list,post,"['id', 'companyid']"
queryCodeExistUsingPOST,查看编码是否存在,https://service.bccastle.com/is/sorg/queryCodeExist,post,"['sorgCode', 'companyid']"
querySameNameExistUsingPOST,查看同一级别下是否有部门名称相同的,https://service.bccastle.com/is/sorg/querySameNameExist,post,"['sorgName', 'sorgParentId', 'companyid']"
updataSorgUsingPOST,机构修改,https://service.bccastle.com/is/sorg/updataSorg,post,"['companyid', 'isHaveSon', 'sorgCode', 'sorgDescription', 'sorgId', 'sorgName', 'sorgParentId', 'sorgParentName', 'sorgType']"
startAccountUsingPOST,启用禁用账号,https://service.bccastle.com/is/startAccount,post,"['accountStatus', 'uids', 'entityId']"
statusAppsFalseUsingPOST_1,应用禁用,https://service.bccastle.com/is/statusAppsFalse,post,"['EntityID', 'updatetimeuser', 'companyid']"
statusAppsTrueUsingPOST_1,应用启用,https://service.bccastle.com/is/statusAppsTrue,post,"['EntityID', 'updatetimeuser', 'companyid']"
statusFalseUsingPOST,禁用,https://service.bccastle.com/is/statusFalse,post,['ids']
statusTrueUsingPOST,启用,https://service.bccastle.com/is/statusTrue,post,['ids']
addPowerUsingPOST,新增菜单权限,https://service.bccastle.com/is/syspower/power/addPower,post,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl']"
deleteSysPowerUsingPOST,删除菜单权限,https://service.bccastle.com/is/syspower/power/deletePower,post,['powerid']
findListByPowerUsingGET,获取菜单资源分页信息,https://service.bccastle.com/is/syspower/power/getPowerList,get,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl', 'page']"
alreadyrolepowerListUsingGET,获取已授权的资源菜单分页信息,https://service.bccastle.com/is/syspower/power/getalreadyrolepowerList,get,['roleid']
rolepowerListUsingGET,获取未授权的资源菜单分页信息,https://service.bccastle.com/is/syspower/power/getrolepowerList,get,['roleid']
gotoCompanyUserIndexUsingGET,企业系统资源,https://service.bccastle.com/is/syspower/power/list,get,[]
getSysPowerUsingPOST,查看资源权限信息,https://service.bccastle.com/is/syspower/power/queryPower,post,['powerid']
updatePowerUsingPOST,更新菜单权限,https://service.bccastle.com/is/syspower/power/updatePower,post,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl']"
addRoleUsingPOST,新增角色,https://service.bccastle.com/is/sysrole/role/addRole,post,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType', 'companyId']"
authorizationPowerUsingPOST,角色授权,https://service.bccastle.com/is/sysrole/role/authorizationPower,post,"['powerid', 'roleid']"
cancelauthorizationPowerUsingPOST,收回授权给角色的菜单权限,https://service.bccastle.com/is/sysrole/role/cancelauthorizationPower,post,"['powerid', 'roleid']"
deleteSysRoleUsingPOST,删除角色,https://service.bccastle.com/is/sysrole/role/deleteRole,post,['roleid']
findListByRoleUsingGET,获取角色分页信息,https://service.bccastle.com/is/sysrole/role/getRoleList,get,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType', 'page', 'uid']"
alreadyuserroleListUsingGET,获取已授权的角色分页信息,https://service.bccastle.com/is/sysrole/role/getalreadyrolepowerList,get,['uid']
userroleListUsingGET,获取未授权的角色分页信息,https://service.bccastle.com/is/sysrole/role/getuserroleList,get,['uid']
getSysRoleUsingPOST,查看角色信息,https://service.bccastle.com/is/sysrole/role/queryRole,post,['roleid']
queryRoleUsingPOST,查找角色名是否存在,https://service.bccastle.com/is/sysrole/role/queryRoleName,post,"['roleName', 'uid']"
updateRoleUsingPOST,更新角色,https://service.bccastle.com/is/sysrole/role/updateRole,post,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType']"
updataUserUsingPOST,修改用户,https://service.bccastle.com/is/updataUser,post,"['companyName', 'consumeCompanyid', 'displayName', 'employeeNumber', 'errorCause', 'gender', 'isPassRemind', 'loginName', 'mail', 'mobile', 'password', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgNamePath', 'title', 'uid']"
updateCompanyUsingPOST,修改企业LOGO,https://service.bccastle.com/is/updateCompany,post,"['companyId', 'logo']"
updateOrderCompanyIdUsingPOST,更改订单中企业公司id,https://service.bccastle.com/is/updateOrderCompanyId,post,"['consumeCompanyId', 'consumeUserId']"
updateOrderByOpenUsingPOST,订单开通权限,https://service.bccastle.com/is/updateOrderStatus,post,"['orderId', 'uid']"
updateSelfAppUsingPOST,修改自建应用,https://service.bccastle.com/is/updateSelfApp,post,"['appAccessType', 'appkey', 'appsecret', 'authMethodIDs', 'avatar', 'bmethods', 'bmethodsValue', 'chainCodes', 'companyid', 'consumeCompanyId', 'createtime', 'createuser', 'deletetime', 'deleteuser', 'description', 'enabled', 'entityDescriptorContent', 'entityID', 'idpEntityId', 'isSubmit', 'lastmodify', 'loginUrl', 'name', 'outUrl', 'pmethods', 'pmethodsValue', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'umethods', 'umethodsValue', 'updatetimeuser', 'url', 'visualRange', 'way']"
updateSorgSequenceUsingPOST,修改序列号,https://service.bccastle.com/is/updateSorgSequence,post,['json']
statusAppsFalseUsingPOST,不同意申请,https://service.bccastle.com/is/updateTypeFalse,post,"['userApps', 'commentContent', 'loginName']"
statusAppsTrueUsingPOST,同意申请,https://service.bccastle.com/is/updateTypeTrue,post,"['userApps', 'commentContent', 'loginName']"
updateUserMailUsingPOST,修改邮箱,https://service.bccastle.com/is/updateUserMail,post,"['mail', 'userId', 'mobile', 'authCode']"
updateUserMobileUsingPOST,修改绑定手机,https://service.bccastle.com/is/updateUserMobile,post,"['mobile', 'userId']"
updateUserPassWordUsingPOST,修改密码,https://service.bccastle.com/is/updateUserPassWord,post,"['userId', 'newPassword', 'mobile', 'oldPassword', 'authCode']"
uploadSorgDateUsingPOST,返回机构下载的路径地址,https://service.bccastle.com/is/uploadSorgDate,post,['companyId']
uploadSorgDateImportFailedUsingPOST,返回机构导入失败列表下载的路径地址,https://service.bccastle.com/is/uploadSorgDateImportFailed,post,['error...']
uploadUserDateUsingPOST,uploadUserDate,https://service.bccastle.com/is/uploadUserDate,post,['companyId']
userAppsListUsingGET,应用分配,https://service.bccastle.com/is/userAppsList,get,"['companyid', 'p', 'SpCode', 'uid']"
getLoginUserUsingPOST,根据token得到登录用户信息,https://service.bccastle.com/is/userInfo,post,['token']
userListUsingGET,分配用户,https://service.bccastle.com/is/userList,get,"['p', 'companyid', 'entityid', 'employeeNumber', 'displayName', 'mail', 'spOrgNamePath']"
userMessageUsingPOST,查询用户,https://service.bccastle.com/is/userMessage,post,['uid']
verifyCodeUsingPOST,验证码是否正确,https://service.bccastle.com/is/verifyCode,post,"['mobile', 'authCode']"
verifyEmployeeNumberUsingPOST,验证员工编号是否重复,https://service.bccastle.com/is/verifyEmployeeNumber,post,"['employeeNumber', 'companyId']"
